1797;sEA;1
672;HC;1
1904;BF;0
1894;sEA;200000
594;BF;0
353;BF;0
1991;sEA;1
431;HC;71
532;sEA;200000
2124;SA;1
1039;SA;1
112;BF;0
557;HC;548
316;HC;59
2083;HC;1
594;BT;15
839;SA;16
353;BT;88
840;SA;5
435;sEA;200000
1154;SA;6
338;sEA;200000
112;BT;1
1395;SA;9
1281;SA;1
2071;HC;1
226;BF;0
341;BT;4
545;HC;6
966;SA;1
1166;SA;4
1421;sEA;200000
479;BT;1
1268;SA;1
1653;sEA;1
660;HC;1
1556;sEA;1
1904;BT;6688
341;BF;0
479;BF;0
713;SA;1
1459;sEA;200000
2238;SA;1
1750;sEA;1
798;HC;1
569;HC;1
226;BT;3
773;sEA;200000
870;sEA;200000
2009;SA;24
2095;HC;1
1916;BT;14
365;BT;8
827;SA;16
852;SA;1
1383;SA;1
202;HC;251
579;sEA;1
443;HC;1
365;BF;0
533;HC;1
774;HC;969
304;HC;1
1324;sEA;1
1256;SA;8
100;BT;3
467;BF;0
2010;SA;5
570;HC;55
1315;sEA;1
1565;sEA;200000
2148;SA;4
2197;HC;1
238;BT;9
136;BF;0
696;BF;0
1293;SA;13
1027;SA;1
238;BF;0
1916;BF;0
100;BF;0
467;BT;6
954;SA;1
2112;SA;3
696;BT;1
725;SA;200000
136;BT;1
764;sEA;1
888;HC;1
329;sEA;1
508;SA;3
569;BF;0
328;BF;0
426;sEA;200000
1064;SA;9
762;HC;1
1129;SA;5
443;BT;1
2206;sEA;1
1788;sEA;1
2173;HC;1
2058;HC;5
569;BT;1
1003;SA;14
1485;SA;8
263;BF;0
1885;sEA;200000
86;sEA;1
328;BT;6
347;sEA;1
1802;BT;6
214;HC;39
443;BF;0
263;BT;1
1814;BF;0
300;sEA;200000
68;sEA;1
696;HC;1
1928;BF;0
203;sEA;200000
1015;SA;1
377;BF;0
1928;BT;6688
570;BT;4
377;BT;1
418;HC;1
1941;BF;0
390;BF;0
1130;SA;9
2185;HC;279
635;SA;14
100;HC;25
570;BF;0
2197;BT;1
238;HC;88
1599;SA;7
455;BT;1
782;sEA;200000
1473;SA;11
701;SA;1
1142;SA;9
676;sEA;298
978;SA;1
2071;BT;1
124;BT;1
1741;sEA;1
353;HC;12004
2197;BF;0
1076;SA;7
21;sEA;1
455;BF;0
684;HC;1
1191;HC;28
1904;HC;41889
57;BF;0
2071;BF;0
124;BF;0
2136;SA;3
1227;sEA;1
1333;sEA;1
1412;sEA;200000
2046;HC;1682
623;HC;40
582;BT;3
251;BF;0
316;BT;6
1802;BF;0
251;BT;1
226;HC;17
647;SA;4
582;BF;0
389;BT;9
57;BT;1
316;BF;0
861;sEA;200000
750;HC;162
1662;sEA;200000
389;BF;0
21;HC;1
2022;HC;503
2185;BF;0
1838;BT;4
161;BT;1
418;BF;0
514;sEA;200000
659;BF;0
533;BT;1
774;SA;8
2215;sEA;1
1712;BT;1
1724;BF;0
2185;BT;27
124;HC;1
1779;sEA;1
659;BT;5
1334;SA;1
418;BT;1
1973;sEA;200000
365;HC;297
533;BF;0
1953;BT;16
1965;BF;0
2148;HC;47
1671;sEA;1
1724;BT;1
786;BF;0
755;sEA;1
1575;SA;1
2173;BT;1
136;HC;1
1088;BT;13343
1209;sEA;1
1916;HC;1293
1088;BF;0
1306;sEA;1
2058;BT;17
2136;HC;8
190;sEA;1
406;BT;32
299;BT;1
304;BF;0
356;sEA;1
1477;sEA;200000
1712;BF;0
888;SA;1
2034;HC;116
2173;BF;0
786;BT;6
1802;HC;167
304;BT;1
1064;HC;476
1500;sEA;200000
1461;SA;7
1826;BT;15
251;HC;1
406;BF;0
299;BF;0
1690;SA;1
161;BF;0
658;sEA;1
685;sEA;1
1941;BT;6688
390;BT;3
2202;SA;1
112;HC;1
521;BF;0
1635;sEA;200000
1689;SA;1
1448;SA;1
1644;sEA;296
1851;BT;7426
431;BF;0
1826;BF;0
275;BT;5
521;BT;6
635;HC;64
1236;sEA;1
1322;SA;1
45;BT;3
2161;HC;35
431;BT;12
2046;BT;24
2058;BF;0
173;BT;3
275;BF;0
762;SA;1
1953;BF;0
1076;HC;281
649;sEA;1
991;SA;1
660;BT;1
1814;BT;1
45;BF;0
377;HC;1
899;sEA;200000
173;BF;0
798;BT;1
843;sEA;200000
798;BF;0
1989;BF;0
148;HC;46
508;HC;127
2193;sEA;374
1587;SA;8
1191;SA;6
1928;HC;94365
660;BF;0
2124;HC;1
2083;SA;1
1851;BF;0
