1797;sEA;272
672;HC;60
1991;sEA;1
431;HC;1
2124;SA;20
1039;SA;16
3053;HC;106
839;SA;1
840;SA;1
3294;HC;65
435;sEA;1
2365;SA;21
3089;BT;1
3090;BT;2378
1281;SA;10
3041;HC;378
1421;sEA;1
479;BT;14
2535;sEA;1
3208;SA;1
3221;SA;1
1268;SA;1
660;HC;212
1556;sEA;200000
1904;BT;7
1750;sEA;297
226;BT;19
870;sEA;1
1916;BT;1
827;SA;1
852;SA;1
202;HC;64
2970;sEA;1
443;HC;1
2377;SA;11
3077;BT;1
1256;SA;1
3282;HC;1
1315;sEA;1
3408;sEA;1
2148;SA;12
2197;HC;200000
238;BT;7
1293;SA;1
1027;SA;15
467;BT;8348
2112;SA;8
696;BT;20
2341;SA;1
2776;sEA;200000
764;sEA;1
3233;SA;13
888;HC;1
329;sEA;200000
1064;SA;8
2390;SA;1
443;BT;1
2206;sEA;200000
3245;SA;1
2173;HC;200000
1003;SA;200000
1485;SA;1
3028;HC;437
1885;sEA;1
86;sEA;200000
347;sEA;1
214;HC;447
263;BT;21
300;sEA;1
68;sEA;200000
696;HC;2476
1015;SA;18
3437;SA;1
2389;SA;15
3065;BT;33
1928;BT;1
418;HC;1
2185;HC;39575
2582;SA;1
635;SA;24
3181;sEA;200000
2197;BT;25
3090;HC;104
238;HC;7
455;BT;14
782;sEA;1
1473;SA;1
2758;sEA;200000
676;sEA;200000
2864;sEA;200000
2594;SA;1
1076;SA;22
21;sEA;292
684;HC;109
1904;HC;13
2136;SA;3
3257;SA;14
1227;sEA;1
1333;sEA;200000
623;HC;184
251;BT;20
226;HC;64
647;SA;25
2429;sEA;200000
3449;SA;1
1662;sEA;200000
2328;SA;9
3053;BT;6084
1712;BT;1
2185;BT;4202
1779;sEA;388
659;BT;12
418;BT;1
1973;sEA;1
2389;HC;59
3270;SA;1
3426;sEA;1
1953;BT;1
2148;HC;2440
1724;BT;6
2173;BT;25
1088;BT;803
1209;sEA;200000
3028;SA;9
1916;HC;1
2136;HC;88
190;sEA;1
406;BT;1
299;BT;1
888;SA;1
1064;HC;613
3401;SA;1
2688;sEA;1
