200090014;BT;1
200200024;BT;1
200030029;HC;500000
200150041;BT;1
200050043;SA;1
200040028;BT;1
200170029;SA;1
200070008;BT;1
200100026;SA;92
200060005;SA;7
200060009;HC;1
200140049;SA;1
200030037;SA;7
200070041;HC;3
200080015;HC;1
200120024;HC;1
200150012;SA;1
200140050;SA;1
200190035;SA;1
200130035;BT;1
200160047;HC;18
200080040;BT;1
200130023;BT;1
200160015;BT;1
200190039;HC;1
200030025;SA;500000
200030030;HC;1
200060017;SA;500000
200080003;HC;500000
200050047;HC;1
200180021;BT;1
200140030;HC;1
200020023;BT;9
200140009;BT;1
200120032;SA;1
200130006;SA;1
200170010;HC;1
200080023;SA;9
200200007;SA;1
200060010;HC;1
200170017;SA;1
200170030;SA;1
200110030;BT;1
200060034;BT;1
200150004;HC;1
200110017;BT;1
200120020;SA;5
200130018;SA;1
200080039;BT;1
200090046;HC;1
200100006;HC;3
200100031;HC;3
200040004;HC;6
200120012;HC;1
200180004;SA;1
200160043;SA;1
200110005;BT;1
200190015;HC;1
200150028;BT;1
200050003;BT;1
200090026;BT;1
200200012;BT;1
200050031;SA;1
200030017;HC;1
200020035;BT;1
200190047;SA;1
200140010;BT;1
200040016;BT;14
200030049;SA;500000
200180033;BT;1
200170022;HC;1
200120048;BT;1
200080011;SA;1
200060046;BT;1
200030050;SA;1
200060022;HC;1
200070028;HC;4
200100002;SA;1
200110042;BT;93
200170046;BT;1
200160035;HC;1
200030042;HC;1
200160003;BT;138
200180008;HC;1
200100038;SA;1
200140042;HC;1
200060029;SA;1
200030013;SA;1
200050035;HC;1
200150036;SA;1
200190040;HC;1
200190011;SA;1
200200044;HC;1
200160023;HC;1
200090010;SA;65
200150016;BT;129
200110045;SA;34
200140022;BT;1
200020047;BT;71440
200050047;BT;1
200020018;SA;4
200050018;SA;1
200110037;HC;1
200040048;HC;4
200030001;SA;1
200170022;BT;1
200130031;SA;1
200110017;HC;1
200050011;HC;1
200080047;SA;3
200120016;BT;100
200100031;BT;35
200060010;BT;1
200160031;SA;1
200190039;BT;1
200040044;SA;6
200180036;SA;1
200020011;HC;4
200030005;HC;1
200090009;SA;45
200070036;SA;63
200110049;HC;11
200030029;BT;9
200130011;HC;1
200120004;BT;1
200190007;BT;18
200190040;BT;1
200200040;SA;1
200070021;BT;1
200080007;BT;71
200200032;HC;1
200140005;SA;1
200070004;SA;12
200150048;SA;1
200060042;HC;500000
200090002;HC;1
